Age_Next_Birthday,P_PLUS_Annual_Premium,P_PRIME_Annual_Premium,A_PLUS_Annual_Premium
1,544.44,392.93,287.20
2,544.44,392.93,287.20
3,544.44,392.93,287.20
4,512.83,374.40,285.02
5,512.83,374.40,285.02
6,512.83,374.40,285.02
7,512.83,374.40,285.02
8,512.83,374.40,285.02
9,512.83,374.40,285.02
10,512.83,374.40,285.02
11,512.83,374.40,285.02
12,512.83,374.40,285.02
13,512.83,374.40,285.02
14,512.83,374.40,285.02
15,512.83,374.40,285.02
16,512.83,374.40,285.02
17,512.83,374.40,285.02
18,512.83,374.40,285.02
19,512.83,374.40,285.02
20,512.83,374.40,285.02
21,686.31,514.09,398.55
22,686.31,514.09,398.55
23,686.31,514.09,398.55
24,686.31,514.09,398.55
25,686.31,514.09,398.55
26,751.71,550.06,398.55
27,751.71,550.06,398.55
28,751.71,550.06,398.55
29,751.71,550.06,398.55
30,751.71,550.06,398.55
31,1134.11,855.07,637.07
32,1134.11,855.07,637.07
33,1134.11,855.07,637.07
34,1134.11,855.07,637.07
35,1134.11,855.07,637.07
36,1183.16,882.32,655.60
37,1183.16,882.32,655.60
38,1183.16,882.32,655.60
39,1183.16,882.32,655.60
40,1183.16,882.32,655.60
41,1930.83,1358.58,895.33
42,1930.83,1358.58,895.33
43,1930.83,1358.58,895.33
44,1930.83,1358.58,895.33
45,1930.83,1358.58,895.33
46,1994.05,1394.55,917.13
47,1994.05,1394.55,917.13
48,1994.05,1394.55,917.13
49,1994.05,1394.55,917.13
50,1994.05,1394.55,917.13
51,3009.97,2079.11,1287.77
52,3009.97,2079.11,1287.77
53,3009.97,2079.11,1287.77
54,3009.97,2079.11,1287.77
55,3009.97,2079.11,1287.77
56,3601.84,2409.38,1439.28
57,3601.84,2409.38,1439.28
58,3601.84,2409.38,1439.28
59,3601.84,2409.38,1439.28
60,3601.84,2409.38,1439.28
61,5093.15,3341.52,1825.33
62,5093.15,3341.52,1825.33
63,5093.15,3341.52,1825.33
64,5120.40,3356.78,2013.90
65,5120.40,3356.78,2013.90
66,6881.73,4425.96,2485.76
67,6881.73,4425.96,2485.76
68,6881.73,4425.96,2485.76
69,7329.72,4676.66,2790.96
70,7329.72,4676.66,2790.96
71,8397.73,5412.22,3303.07
72,8397.73,5412.22,3303.07
73,8397.73,5412.22,3303.07
74,10189.38,6488.83,3913.16
75,10189.38,6488.83,3913.16
76,11647.34,7395.25,4488.22
77,11647.34,7395.25,4488.22
78,11647.34,7395.25,4488.22
79,13794.41,8664.87,5058.06
80,13794.41,8664.87,5058.06
81,14717.01,9231.04,5271.07
82,14717.01,9231.04,5271.07
83,14717.01,9231.04,5271.07
84,15736.33,9937.53,5888.18
85,15736.33,9937.53,5888.18
86,15971.82,10143.59,6449.58
87,15971.82,10143.59,6449.58
88,15971.82,10143.59,6449.58
89,16114.61,10223.16,6589.10
90,16114.61,10223.16,6589.10
91,16299.49,10344.82,6888.43
92,16299.49,10344.82,6888.43
93,16299.49,10344.82,6888.43
94,16416.12,10410.22,7177.28
95,16416.12,10410.22,7177.28
96,16537.11,10477.80,7648.16
97,16537.11,10477.80,7648.16
98,16537.11,10477.80,7648.16
99,16625.40,10526.85,7990.42
100,16625.40,10526.85,7990.42
>100,16625.40,10526.85,7990.42
