Age_Next_Birthday,TotalCare2_P_Premium,TotalCare2_PRIME_Premium,TotalCare2_A_Premium,TotalCare2_B_Premium,TotalCarePlus2_ESSENTIAL_Premium
1,977.73,422.92,118.81,75.21,148.24
2,977.73,422.92,118.81,75.21,127.53
3,977.73,422.92,118.81,75.21,110.09
4,842.57,371.69,77.39,75.21,94.83
5,842.57,371.69,77.39,75.21,81.75
6,842.57,371.69,77.39,62.13,75.21
7,842.57,371.69,77.39,62.13,77.39
8,842.57,371.69,77.39,62.13,78.48
9,842.57,371.69,77.39,62.13,80.66
10,842.57,371.69,77.39,62.13,85.02
11,842.57,371.69,77.39,62.13,87.20
12,842.57,371.69,77.39,62.13,89.38
13,842.57,371.69,77.39,62.13,91.56
14,842.57,371.69,77.39,62.13,93.74
15,842.57,371.69,77.39,62.13,97.01
16,842.57,371.69,77.39,62.13,99.19
17,842.57,371.69,77.39,62.13,103.55
18,842.57,371.69,77.39,62.13,105.73
19,842.57,371.69,77.39,62.13,109.00
20,842.57,371.69,77.39,62.13,113.36
21,887.26,357.52,88.29,64.31,115.54
22,887.26,357.52,88.29,64.31,119.90
23,887.26,357.52,88.29,64.31,123.17
24,887.26,357.52,88.29,64.31,126.44
25,887.26,357.52,88.29,64.31,127.53
26,893.80,374.96,88.29,64.31,128.62
27,893.80,374.96,88.29,64.31,128.62
28,893.80,374.96,88.29,64.31,129.71
29,893.80,374.96,88.29,64.31,129.71
30,893.80,374.96,88.29,64.31,130.80
31,935.22,438.18,109.00,75.21,130.80
32,935.22,438.18,109.00,75.21,130.80
33,935.22,438.18,109.00,75.21,131.89
34,935.22,438.18,109.00,75.21,131.89
35,935.22,438.18,109.00,75.21,134.07
36,1034.41,468.70,128.62,89.38,135.16
37,1034.41,468.70,128.62,89.38,136.25
38,1034.41,468.70,128.62,89.38,143.88
39,1034.41,468.70,128.62,89.38,144.97
40,1034.41,468.70,128.62,89.38,154.78
41,1507.47,703.05,167.86,116.63,162.41
42,1507.47,703.05,167.86,116.63,163.50
43,1507.47,703.05,167.86,116.63,166.77
44,1507.47,703.05,167.86,116.63,174.40
45,1507.47,703.05,167.86,116.63,176.58
46,1697.13,827.31,210.37,144.97,177.67
47,1697.13,827.31,210.37,144.97,189.66
48,1697.13,827.31,210.37,144.97,201.65
49,1697.13,827.31,210.37,144.97,213.64
50,1697.13,827.31,210.37,144.97,225.63
51,2334.78,1297.10,284.49,196.20,239.80
52,2334.78,1297.10,284.49,196.20,255.06
53,2334.78,1297.10,284.49,196.20,270.32
54,2334.78,1297.10,284.49,196.20,296.48
55,2334.78,1297.10,284.49,196.20,310.65
56,3217.68,1706.94,393.49,271.41,338.99
57,3217.68,1706.94,393.49,271.41,355.34
58,3217.68,1706.94,393.49,271.41,372.78
59,3217.68,1706.94,393.49,271.41,401.12
60,3217.68,1706.94,393.49,271.41,432.73
61,4532.22,2225.78,490.50,340.08,464.34
62,4532.22,2225.78,490.50,340.08,498.13
63,4532.22,2225.78,490.50,340.08,534.10
64,4993.29,2401.27,573.34,395.67,615.85
65,4993.29,2401.27,573.34,395.67,657.27
66,6035.33,3009.49,661.63,457.80,703.05
67,6035.33,3009.49,661.63,457.80,751.01
68,6035.33,3009.49,661.63,457.80,802.24
69,6530.19,3321.23,757.55,523.20,862.19
70,6530.19,3321.23,757.55,523.20,892.71
71,7414.18,3732.16,855.65,590.78,937.40
72,7414.18,3732.16,855.65,590.78,982.09
73,7414.18,3732.16,855.65,590.78,1031.14
74,8288.36,4385.07,966.83,665.99,1080.19
75,8288.36,4385.07,966.83,665.99,1132.51
76,8769.05,4963.86,1066.02,735.75,1189.19
77,8769.05,4963.86,1066.02,735.75,1244.78
78,8769.05,4963.86,1066.02,735.75,1305.82
79,9268.27,5749.75,1171.75,807.69,1372.31
80,9268.27,5749.75,1171.75,807.69,1437.71
81,9789.29,6246.79,1274.21,879.63,1507.47
82,9789.29,6246.79,1274.21,879.63,1581.59
83,9789.29,6246.79,1274.21,879.63,1657.89
84,10091.22,6691.51,1386.48,952.66,1739.64
85,10091.22,6691.51,1386.48,952.66,1823.57
86,10845.50,6888.80,1469.32,1008.25,
87,10845.50,6888.80,1469.32,1008.25,
88,10845.50,6888.80,1469.32,1008.25,
89,11715.32,7167.84,1472.59,1064.93,
90,11715.32,7167.84,1472.59,1064.93,
91,11973.65,7220.16,1495.48,1117.25,
92,11973.65,7220.16,1495.48,1117.25,
93,11973.65,7220.16,1495.48,1117.25,
94,12364.96,7382.57,1530.36,1153.22,
95,12364.96,7382.57,1530.36,1153.22,
96,12695.23,7494.84,1561.97,1177.20,
97,12695.23,7494.84,1561.97,1177.20,
98,12695.23,7494.84,1561.97,1177.20,
99,13135.59,7589.67,1567.42,1188.10,
100,13135.59,7589.67,1567.42,1188.10,
>100,13135.59,7589.67,1567.42,1188.10,
